track_name,artist,genre,valence,energy,tempo,danceability,acousticness,language,mood_tags
Fearless Echoes,Ezra Vance,Lo-fi,0.41,0.32,82.7,0.42,0.54,Telugu,calm;focused
Hollow Skyline,Devika Bloom,Jazz,0.59,0.52,111.3,0.37,0.46,English,calm;nostalgic
Bright Compass,Priya Vance,EDM,0.62,0.81,136.8,0.73,0.06,Spanish,energetic;happy
Golden Mirage,Iris Mehta,Bollywood,0.5,0.8,125.0,0.89,0.37,Hindi,happy;romantic
Restless Voyage,Ananya Mehta,Devotional,0.51,0.13,82.7,0.16,0.84,Hindi,calm;nostalgic
Neon Echoes,Arjun Bloom,Ambient,0.28,0.2,75.5,0.32,0.55,Korean,calm;sad
Midnight Lullaby,Noor Cross,Devotional,0.54,0.29,56.8,0.25,0.69,Hindi,calm;nostalgic
Wild Rebellion,Kai Marsh,EDM,0.83,0.95,149.3,0.81,0.01,Spanish,energetic;happy
Quiet Lullaby,Arjun Cross,Classical,0.59,0.39,71.3,0.24,0.82,Telugu,calm;focused
Midnight Horizon,Ananya Vance,Rock,0.6,0.73,139.6,0.57,0.14,English,angry;energetic
Crimson Echoes,Ishaan Lane,Lo-fi,0.37,0.39,70.9,0.48,0.68,Korean,calm;focused
Broken Voyage,Kabir Hart,Hip-Hop,0.49,0.69,82.1,0.76,0.3,Punjabi,energetic;focused
Frozen Signal,Theo Ray,Metal,0.39,0.87,163.6,0.51,0.02,English,angry;energetic
Electric Voyage,Jude Sen,Classical,0.48,0.25,95.4,0.39,0.81,English,calm;focused
Radiant Anthem,Priya Marsh,Devotional,0.67,0.16,59.5,0.18,0.77,Hindi,calm;nostalgic
Midnight Garden,Ananya Kapoor,Hip-Hop,0.5,0.62,95.7,0.78,0.12,English,energetic;focused
Faded Tides,Mira Sen,Rock,0.68,0.86,134.5,0.7,0.18,English,angry;energetic
Endless Tides,Leo Chandra,Bollywood,0.84,0.54,107.2,0.68,0.19,Punjabi,happy;romantic
Neon Wavelength,Jude Hart,Acoustic,0.52,0.34,78.1,0.44,0.87,English,sad;nostalgic
Lonesome Skyline,Kai Hart,Romance,0.58,0.29,85.8,0.41,0.43,Korean,romantic;calm
Lonesome Momentum,Mira Kapoor,EDM,0.89,0.82,139.2,0.83,0.02,Korean,energetic;happy
Amber Compass,Aria Cross,Bollywood,0.82,0.51,106.4,0.6,0.37,Punjabi,happy;romantic
Burning Constellation,Rohan Lane,Acoustic,0.63,0.28,102.8,0.37,0.65,English,sad;nostalgic
Burning Reverie,Selene Rey,Romance,0.53,0.45,99.6,0.44,0.63,Hindi,romantic;calm
Burning Voyage,Selene Bloom,Jazz,0.63,0.36,115.4,0.42,0.61,English,calm;nostalgic
Faded Voyage,Ezra Bloom,Indie,0.54,0.52,116.7,0.44,0.28,Tamil,nostalgic;calm
Wild Skyline,Leo Lane,Classical,0.25,0.29,96.9,0.2,0.8,English,calm;focused
Quiet Highway,Aria Cross,Classical,0.48,0.14,102.8,0.27,0.95,Tamil,calm;focused
Drifting Voyage,Mira Sinclair,Bollywood,0.55,0.69,133.7,0.74,0.37,Hindi,happy;romantic
Quiet Momentum,Rohan Mehta,Ambient,0.46,0.14,72.5,0.21,0.88,English,calm;sad
Crimson Paradise,Theo Lane,EDM,0.55,0.86,133.6,0.94,0.09,English,energetic;happy
Radiant Skyline,Rhea Bloom,Romance,0.72,0.23,80.9,0.47,0.61,Korean,romantic;calm
Burning Static,Ishaan Kapoor,Ambient,0.39,0.24,67.3,0.38,0.65,Korean,calm;sad
Fierce Anthem,Theo Rey,Classical,0.41,0.17,68.3,0.25,0.88,Telugu,calm;focused
Wild Static,Noor Sen,Lo-fi,0.36,0.21,86.2,0.51,0.68,English,calm;focused
Broken Rebellion,Theo Fields,Metal,0.18,0.92,156.4,0.38,0.06,Tamil,angry;energetic
Electric Rebellion,Leo Sen,Ambient,0.42,0.2,55.0,0.32,0.8,English,calm;sad
Wild Compass,Kai Sen,Romance,0.72,0.28,79.3,0.33,0.68,Tamil,romantic;calm
Fierce Rebellion,Rhea Marsh,Rock,0.57,0.8,115.3,0.5,0.06,English,angry;energetic
Hollow Highway,Nova Marsh,Pop,0.63,0.7,100.8,0.66,0.21,Telugu,happy;energetic
Wild Fireflies,Devika Vance,Acoustic,0.43,0.38,90.3,0.52,0.85,Tamil,sad;nostalgic
Hollow Signal,Priya Mehta,Pop,0.83,0.55,124.2,0.81,0.14,English,happy;energetic
Neon Tides,Leo Fields,Hip-Hop,0.63,0.74,106.2,0.67,0.2,English,energetic;focused
Fearless Skyline,Iris Marsh,Pop,0.74,0.8,118.6,0.86,0.19,English,happy;energetic
Silent Fireflies,Devika Kapoor,Hip-Hop,0.42,0.9,109.3,0.94,0.28,English,energetic;focused
Drifting Lullaby,Leo Rios,Metal,0.28,0.99,166.0,0.46,0.07,English,angry;energetic
Faded Bloom,Sana Kapoor,Rock,0.49,0.82,145.0,0.69,0.2,English,angry;energetic
Hazy Embers,Leo Mehta,Rock,0.55,0.73,146.3,0.42,0.18,Telugu,angry;energetic
Electric Wavelength,Priya Rey,Indie,0.6,0.47,111.2,0.44,0.41,Korean,nostalgic;calm
Amber Embers,Priya Sen,Lo-fi,0.46,0.2,76.8,0.63,0.68,Korean,calm;focused
Hollow Embers,Ananya Kapoor,Acoustic,0.6,0.23,97.7,0.37,0.88,English,sad;nostalgic
Frozen Constellation,Priya Cross,Hip-Hop,0.57,0.89,114.8,0.82,0.23,English,energetic;focused
Burning Paradise,Leo Wolfe,Devotional,0.54,0.15,65.2,0.24,0.7,Hindi,calm;nostalgic
Crimson Horizon,Ezra Rey,Romance,0.56,0.4,85.6,0.3,0.44,Telugu,romantic;calm
Endless Voyage,Arjun Mehta,Classical,0.33,0.19,106.4,0.22,0.85,English,calm;focused
Frozen Paradise,Jude Marsh,Bollywood,0.82,0.5,114.1,0.71,0.3,Punjabi,happy;romantic
Distant Mirage,Rhea Vance,Rock,0.46,0.92,139.7,0.45,0.11,English,angry;energetic
Radiant Echoes,Arjun Fields,Jazz,0.45,0.49,117.5,0.37,0.49,Spanish,calm;nostalgic
Radiant Paradise,Noor Rios,Classical,0.37,0.36,73.2,0.33,0.81,Tamil,calm;focused
Burning Compass,Rhea Sen,Indie,0.41,0.44,86.2,0.48,0.27,Korean,nostalgic;calm
Fearless Anthem,Ananya Chandra,Devotional,0.7,0.21,68.6,0.27,0.58,Hindi,calm;nostalgic
Fearless Static,Theo Wolfe,EDM,0.93,0.98,142.7,0.86,0.07,Spanish,energetic;happy
Amber Paradise,Nova Mehta,Devotional,0.41,0.15,77.9,0.33,0.67,Telugu,calm;nostalgic
Crimson Compass,Jude Sen,EDM,0.9,0.86,127.4,0.67,0.0,Korean,energetic;happy
Lonesome Compass,Priya Mehta,Acoustic,0.36,0.3,95.4,0.42,0.58,Tamil,sad;nostalgic
Free Constellation,Sana Bloom,Metal,0.16,0.88,136.4,0.52,0.1,English,angry;energetic
Midnight Wavelength,Kai Ray,Hip-Hop,0.43,0.57,110.2,0.77,0.29,English,energetic;focused
Amber Skyline,Nova Mehta,Pop,0.64,0.59,103.1,0.82,0.19,Telugu,happy;energetic
Drifting Signal,Mira Sen,Pop,0.68,0.85,119.2,0.77,0.22,English,happy;energetic
Burning Fireflies,Selene Wolfe,Lo-fi,0.56,0.29,87.4,0.59,0.57,English,calm;focused
Wild Shadows,Iris Vance,Rock,0.62,0.74,122.6,0.63,0.06,Tamil,angry;energetic
Midnight Mirage,Sana Cross,Pop,0.89,0.81,126.0,0.71,0.16,Korean,happy;energetic
Quiet Aftermath,Ishaan Lane,Bollywood,0.82,0.66,93.4,0.81,0.17,Hindi,happy;romantic
Wild Reverie,Arjun Sinclair,Romance,0.47,0.39,72.3,0.35,0.65,Tamil,romantic;calm
Endless Skyline,Ezra Hart,Acoustic,0.63,0.22,98.2,0.4,0.72,English,sad;nostalgic
Distant Rebellion,Selene Fields,Jazz,0.58,0.47,117.4,0.4,0.47,Spanish,calm;nostalgic
Broken Constellation,Mira Wolfe,Metal,0.16,0.96,136.6,0.53,0.08,Tamil,angry;energetic
Radiant Fireflies,Kai Fields,Jazz,0.67,0.47,100.2,0.36,0.48,Spanish,calm;nostalgic
Drifting Static,Priya Vance,Ambient,0.5,0.16,77.2,0.32,0.77,English,calm;sad
Bright Mirage,Mira Cross,Metal,0.27,0.98,135.2,0.35,0.08,Tamil,angry;energetic
Fearless Momentum,Noor Rey,EDM,0.77,0.87,123.4,0.76,0.1,English,energetic;happy
Crimson Garden,Ananya Rey,Classical,0.4,0.21,81.8,0.24,0.81,Tamil,calm;focused
Quiet Bloom,Rhea Sen,Romance,0.48,0.25,87.4,0.54,0.37,Tamil,romantic;calm
Hazy Signal,Arjun Chandra,Indie,0.43,0.58,86.7,0.59,0.5,Tamil,nostalgic;calm
Hollow Rebellion,Ezra Wolfe,Romance,0.65,0.41,86.5,0.53,0.45,Tamil,romantic;calm
Velvet Fireflies,Devika Hart,Indie,0.47,0.52,106.7,0.51,0.36,English,nostalgic;calm
Wild Tides,Ishaan Sen,Jazz,0.42,0.32,83.2,0.55,0.61,English,calm;nostalgic
Frozen Highway,Jude Wolfe,Ambient,0.42,0.06,69.4,0.2,0.67,English,calm;sad
Free Voyage,Devika Bloom,Ambient,0.37,0.1,64.6,0.28,0.77,English,calm;sad
Faded Constellation,Ezra Fields,Devotional,0.58,0.21,64.9,0.17,0.67,Hindi,calm;nostalgic
Amber Voyage,Ezra Sen,Ambient,0.3,0.1,59.8,0.29,0.64,English,calm;sad
Electric Echoes,Ezra Fields,Rock,0.68,0.82,115.9,0.44,0.11,English,angry;energetic
Free Tides,Sana Rios,Bollywood,0.59,0.57,101.3,0.81,0.33,Hindi,happy;romantic
Electric Horizon,Selene Bloom,Acoustic,0.55,0.23,70.5,0.4,0.63,English,sad;nostalgic
Fierce Mirage,Sana Hart,Indie,0.67,0.39,103.4,0.46,0.34,English,nostalgic;calm
Fierce Lullaby,Arjun Cross,Jazz,0.53,0.39,85.2,0.45,0.5,Spanish,calm;nostalgic
Gentle Garden,Jude Kapoor,Bollywood,0.77,0.67,117.9,0.88,0.2,English,happy;romantic
Quiet Mirage,Kabir Sinclair,Hip-Hop,0.62,0.8,110.9,0.82,0.11,Tamil,energetic;focused
Broken Circuit,Jude Sinclair,Pop,0.78,0.76,120.5,0.62,0.21,Telugu,happy;energetic
Faded Signal,Ezra Hart,EDM,0.54,0.76,123.3,0.84,0.08,Spanish,energetic;happy
